ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,cassava_flour,cassava_flour_fao,maize,maize_flour,millet,millet_fao,oil,salt,sorghum,sorghum_fao,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cassava_flour,h_cassava_flour,l_cassava_flour,c_cassava_flour,inflation_cassava_flour,trust_cassava_flour,o_cassava_flour_fao,h_cassava_flour_fao,l_cassava_flour_fao,c_cassava_flour_fao,inflation_cassava_flour_fao,trust_cassava_flour_fao,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_maize_flour,h_maize_flour,l_maize_flour,c_maize_flour,inflation_maize_flour,trust_maize_flour,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_millet_fao,h_millet_fao,l_millet_fao,c_millet_fao,inflation_millet_fao,trust_millet_fao,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_salt,h_salt,l_salt,c_salt,inflation_salt,trust_salt,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_sorghum_fao,h_sorghum_fao,l_sorghum_fao,c_sorghum_fao,inflation_sorghum_fao,trust_sorghum_fao,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-01-01,2007,1,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1020.88,1084.23,972.2,1028.23,,6.5,509.62,543.24,483.22,513.26,,8.5,427.49,457.83,404.6,431.25,,8.4,488.84,526.73,450.57,488.84,,6.1,801.71,840.3,758.29,801.87,,7.3,1086.62,1153.42,1032.1,1094.07,,7.8,1138.56,1175.23,1110.69,1142.97,,8.9,3771.94,3884.94,3655.27,3772.4,,9.0,1184.13,1235.62,1129.0,1184.29,,9.2,566.11,592.02,546.33,569.21,,6.3,731.99,756.63,707.48,731.99,,8.8,0.45,0.46,0.44,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-02-01,2007,2,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1035.62,1092.04,979.2,1036.79,,6.5,516.89,547.12,486.67,498.49,,8.5,435.0,461.85,408.15,423.86,,8.4,488.65,526.73,438.31,438.31,,6.1,799.46,840.47,704.18,704.18,,7.3,1100.25,1161.33,1039.17,1052.35,,7.8,1147.39,1179.78,1092.45,1092.45,,8.9,3770.56,3885.41,3655.71,3692.89,,9.0,1182.46,1235.78,1125.64,1125.64,,9.2,572.29,595.26,549.32,551.82,,6.3,732.06,756.63,707.48,707.98,,8.8,0.45,0.46,0.43,0.43,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-03-01,2007,3,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1045.16,1102.36,987.95,1084.99,,6.5,500.92,530.44,471.4,514.55,,8.5,428.11,454.57,401.64,435.97,,8.4,440.34,474.41,406.27,472.15,,6.1,703.7,745.65,661.75,720.38,,7.3,1062.71,1121.2,1004.22,1015.56,,7.8,1095.96,1127.79,1064.13,1082.52,,8.9,3693.31,3804.74,3581.88,3643.29,,9.0,1146.38,1197.15,1095.61,1138.36,,9.2,556.95,578.46,535.44,555.1,,6.3,707.4,730.77,684.03,706.05,,8.8,0.43,0.44,0.42,0.44,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-04-01,2007,4,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1099.64,1159.73,1039.54,1143.03,,6.5,518.2,548.86,487.54,537.29,,8.5,438.84,466.14,411.54,465.25,,8.4,468.56,505.73,431.4,480.59,,6.1,704.37,766.75,665.05,766.75,,7.3,1024.31,1080.52,968.1,1009.39,,7.8,1086.23,1116.86,1055.59,1096.69,,8.9,3622.43,3731.19,3513.67,3703.45,,9.0,1139.4,1191.04,1087.75,1186.97,,9.2,558.06,578.03,538.1,550.05,,6.3,705.87,728.12,683.61,702.08,,8.8,0.43,0.45,0.42,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-05-01,2007,5,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1148.27,1211.82,1084.73,1175.52,,6.5,542.33,574.52,510.15,554.51,,8.5,468.79,497.96,439.62,471.78,,8.4,483.71,522.47,444.95,484.22,,6.1,759.52,802.95,716.09,737.62,,7.3,1025.21,1080.66,969.76,1071.31,,7.8,1100.86,1130.99,1070.73,1117.48,,8.9,3706.66,3816.61,3596.71,3705.68,,9.0,1167.83,1221.84,1113.82,1152.19,,9.2,553.89,572.42,535.37,562.88,,6.3,701.94,723.12,680.76,719.04,,8.8,0.45,0.46,0.44,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-06-01,2007,6,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1175.64,1241.31,1071.41,1071.41,,6.5,560.18,593.62,526.75,538.32,,8.5,476.21,505.88,446.54,465.58,,8.4,481.08,521.08,441.07,471.86,,6.1,751.7,790.51,712.89,746.93,,7.3,1085.66,1144.28,1027.03,1060.47,,7.8,1121.99,1151.96,1092.03,1126.05,,8.9,3724.24,3833.05,3615.44,3757.52,,9.0,1159.81,1223.5,1107.08,1223.5,,9.2,564.85,582.77,546.94,561.26,,6.3,719.45,740.65,698.25,706.83,,8.8,0.45,0.46,0.44,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-07-01,2007,7,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1050.0,1109.65,990.35,1033.48,,6.5,542.1,574.72,509.48,517.36,,8.5,469.87,499.23,440.51,440.62,,8.4,475.27,515.12,435.43,472.33,,6.1,751.94,788.51,715.37,750.74,,7.3,1080.42,1138.06,1022.79,1081.25,,7.8,1130.53,1159.85,1101.21,1124.22,,8.9,3749.6,3858.97,3640.23,3705.5,,9.0,1196.98,1253.01,1140.95,1179.17,,9.2,564.82,581.57,548.07,562.13,,6.3,706.61,726.81,686.41,718.03,,8.8,0.45,0.46,0.44,0.44,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-08-01,2007,8,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1054.48,1112.32,996.65,1100.83,,6.5,519.54,551.02,488.06,543.69,,8.5,445.65,473.46,417.83,465.69,,8.4,469.05,509.78,428.32,475.26,,6.1,746.56,781.28,711.84,743.55,,7.3,1079.07,1137.38,1020.77,1055.01,,7.8,1128.54,1157.02,1100.06,1123.02,,8.9,3715.15,3822.28,3608.02,3757.25,,9.0,1188.21,1242.51,1133.9,1200.53,,9.2,565.41,581.23,549.6,577.3,,6.3,718.27,738.17,698.38,715.69,,8.8,0.44,0.45,0.43,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-09-01,2007,9,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1114.71,1176.51,1052.91,1142.36,,6.5,547.93,581.14,514.71,532.1,,8.5,467.53,496.99,438.07,455.77,,8.4,478.28,520.07,436.49,483.45,,6.1,742.98,779.35,710.04,779.35,,7.3,1066.09,1122.59,1009.59,1040.25,,7.8,1127.27,1154.97,1099.56,1123.46,,8.9,3743.89,3851.86,3635.92,3813.73,,9.0,1194.95,1250.56,1139.34,1191.94,,9.2,579.1,594.99,563.22,577.47,,6.3,715.68,734.75,696.61,724.33,,8.8,0.45,0.46,0.44,0.45,,9.0
UGA,Uganda,Busia,Samia-bugwe,Busia,0.47,34.09,gid_4700000340900000,2007-10-01,2007,10,UGX,"beans (1 KG, Index Weight = 1), cassava_flour (1 KG, Index Weight = 0.5), cassava_flour_fao (1 Kg, Index Weight = 0.5), maize (1 KG, Index Weight = 1), maize_flour (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 0.5), millet_fao (1 Kg, Index Weight = 0.5), oil (1 L, Index Weight = 1), salt (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 0.5), sorghum_fao (1 Kg, Index Weight = 0.5)",2007-01-01,2026-07-01,18.25,28.08,0.97,0,,,,,,,,,,,,1148.21,1212.64,1083.79,1134.4,,6.5,535.2,567.9,502.51,524.9,,8.5,462.29,491.2,433.38,445.84,,8.4,480.19,523.48,436.89,474.97,,6.1,778.21,813.53,742.89,774.02,,7.3,1046.19,1101.53,990.84,1038.54,,7.8,1127.71,1154.73,1100.68,1111.31,,8.9,3835.17,3944.52,3698.86,3698.86,,9.0,1193.59,1249.13,1138.05,1158.82,,9.2,580.94,596.03,565.85,582.6,,6.3,724.55,743.25,705.85,728.73,,8.8,0.46,0.47,0.45,0.45,,9.0
