year,month,lat,lon,c_maize,c_beans,c_oil,c_salt,c_food_price_index,inflation_maize,inflation_beans,trust_maize,trust_beans,data_coverage,data_coverage_recent,index_confidence_score,mkt_name_Gulu,mkt_name_Hoima,mkt_name_Jinja,mkt_name_Lira,mkt_name_Market Average,mkt_name_Mbarara
2007,1,0.47,34.09,488.84,1028.23,3772.4,1184.29,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,2,0.47,34.09,438.31,1036.79,3692.89,1125.64,0.43,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,3,0.47,34.09,472.15,1084.99,3643.29,1138.36,0.44,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,4,0.47,34.09,480.59,1143.03,3703.45,1186.97,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,5,0.47,34.09,484.22,1175.52,3705.68,1152.19,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,6,0.47,34.09,471.86,1071.41,3757.52,1223.5,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,7,0.47,34.09,472.33,1033.48,3705.5,1179.17,0.44,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,8,0.47,34.09,475.26,1100.83,3757.25,1200.53,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,9,0.47,34.09,483.45,1142.36,3813.73,1191.94,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,10,0.47,34.09,474.97,1134.4,3698.86,1158.82,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,11,0.47,34.09,492.87,1034.26,3793.47,1202.6,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2007,12,0.47,34.09,492.34,1023.22,3687.63,1202.14,0.45,,,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,1,0.47,34.09,546.38,1082.88,3733.77,1181.88,0.46,11.77,5.32,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,2,0.47,34.09,482.2,1082.98,3787.05,1202.5,0.46,10.01,4.45,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,3,0.47,34.09,528.58,1134.03,3761.68,1180.45,0.46,11.95,4.52,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,4,0.47,34.09,539.85,1251.24,3876.0,1217.83,0.48,12.33,9.47,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,5,0.47,34.09,541.74,1269.09,3862.67,1228.66,0.48,11.88,7.96,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,6,0.47,34.09,526.59,1141.77,3857.95,1242.57,0.47,11.6,6.57,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,7,0.47,34.09,542.6,1180.91,3819.32,1254.76,0.47,14.88,14.27,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,8,0.47,34.09,544.7,1244.96,3945.78,1216.76,0.48,14.61,13.09,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,9,0.47,34.09,570.93,1478.46,4048.94,1316.95,0.52,18.1,29.42,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,10,0.47,34.09,553.41,1651.17,4079.64,1203.77,0.52,16.51,45.55,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,11,0.47,34.09,624.35,1516.1,4393.24,1301.06,0.54,26.68,46.59,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2008,12,0.47,34.09,624.02,1501.74,4332.69,1312.16,0.54,26.75,46.77,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,1,0.47,34.09,638.9,1571.26,4490.92,1359.65,0.55,16.93,45.1,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,2,0.47,34.09,513.16,1554.05,4341.38,1322.8,0.53,6.42,43.5,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,3,0.47,34.09,630.7,1571.86,4408.83,1360.83,0.54,19.32,38.61,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,4,0.47,34.09,500.26,1613.17,4857.39,1593.18,0.57,-7.33,28.93,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,5,0.47,34.09,594.09,1799.33,5301.63,1736.56,0.63,9.66,41.78,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,6,0.47,34.09,701.26,1782.86,5323.52,1757.32,0.65,33.17,56.15,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,7,0.47,34.09,598.39,1565.05,5166.16,1689.56,0.6,10.28,32.53,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,8,0.47,34.09,566.46,1802.26,5085.65,1653.01,0.61,4.0,44.76,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,9,0.47,34.09,610.68,1971.61,5081.85,1704.33,0.63,6.96,33.36,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,10,0.47,34.09,599.1,1786.35,4876.5,1608.3,0.61,8.25,8.19,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,11,0.47,34.09,667.49,1595.28,4937.51,1619.69,0.6,6.91,5.22,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2009,12,0.47,34.09,636.04,1425.18,4833.44,1593.59,0.59,1.93,-5.1,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,1,0.47,34.09,627.18,1442.63,5100.19,1660.28,0.61,-1.83,-8.19,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,2,0.47,34.09,547.22,1466.68,4713.88,1497.32,0.57,6.64,-5.62,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,3,0.47,34.09,650.25,1508.42,4789.88,1448.35,0.58,3.1,-4.04,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,4,0.47,34.09,538.98,1637.57,4501.76,1492.09,0.56,7.74,1.51,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,5,0.47,34.09,525.87,1746.18,4329.05,1415.48,0.54,-11.48,-2.95,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,6,0.47,34.09,525.57,1615.07,4391.94,1361.28,0.53,-25.05,-9.41,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,7,0.47,34.09,451.99,1444.57,4165.21,1274.15,0.49,-24.47,-7.7,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,8,0.47,34.09,429.22,1659.83,4052.31,1172.09,0.49,-24.23,-7.9,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,9,0.47,34.09,425.57,1722.88,4182.63,1154.75,0.5,-30.31,-12.62,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,10,0.47,34.09,411.62,1649.15,4050.71,1216.62,0.49,-31.29,-7.68,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,11,0.47,34.09,544.72,1552.23,4325.48,1212.14,0.51,-18.39,-2.7,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2010,12,0.47,34.09,551.43,1538.61,4229.8,1176.1,0.51,-13.3,7.96,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,1,0.47,34.09,612.9,1734.3,4446.99,1209.47,0.55,-2.28,20.22,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,2,0.47,34.09,649.34,1869.89,4397.67,1188.98,0.56,18.66,27.49,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,3,0.47,34.09,715.7,2011.04,4783.5,1305.89,0.62,10.07,33.32,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,4,0.47,34.09,724.72,1936.36,4877.67,1472.09,0.64,34.46,18.25,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,5,0.47,34.09,836.43,2028.88,5011.51,1709.74,0.69,59.05,16.19,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,6,0.47,34.09,832.98,2040.53,4970.72,1562.66,0.67,58.49,26.34,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,7,0.47,34.09,869.95,1780.53,4934.32,1563.47,0.66,92.47,23.26,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,8,0.47,34.09,820.78,1789.67,5100.36,1450.83,0.66,91.23,7.82,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,9,0.47,34.09,700.49,1742.39,5010.57,1517.32,0.64,64.6,1.13,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,10,0.47,34.09,646.41,1655.65,4873.09,1490.16,0.62,57.04,0.39,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,11,0.47,34.09,689.52,1624.92,5052.29,1729.25,0.64,26.58,4.68,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2011,12,0.47,34.09,702.67,1636.86,5144.86,1778.86,0.65,27.43,6.39,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,1,0.47,34.09,718.35,1632.7,5089.35,1800.44,0.66,17.2,-5.86,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,2,0.47,34.09,655.44,1727.66,4902.31,1656.15,0.64,0.94,-7.61,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,3,0.47,34.09,724.53,1796.0,5098.25,1764.07,0.66,1.23,-10.69,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,4,0.47,34.09,828.45,2064.77,5607.86,1680.6,0.72,14.31,6.63,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,5,0.47,34.09,972.99,2478.58,5833.1,1755.9,0.79,16.33,22.17,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,6,0.47,34.09,938.22,2395.44,6096.4,1775.47,0.79,12.63,17.39,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,7,0.47,34.09,880.25,1962.72,6162.22,1836.07,0.77,1.18,10.23,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,8,0.47,34.09,796.74,1801.65,6341.59,1854.54,0.77,-2.93,0.67,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,9,0.47,34.09,650.19,1760.34,5811.37,1803.94,0.71,-7.18,1.03,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,10,0.47,34.09,622.89,1781.42,5665.53,1741.77,0.7,-3.64,7.6,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,11,0.47,34.09,670.95,1743.68,5416.56,1736.17,0.67,-2.69,7.31,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2012,12,0.47,34.09,706.16,1795.76,5562.92,1769.9,0.7,0.5,9.71,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,1,0.47,34.09,817.32,1919.11,5438.26,1722.91,0.7,13.78,17.54,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,2,0.47,34.09,702.94,2075.57,5765.7,1856.1,0.74,7.25,20.14,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,3,0.47,34.09,747.93,2119.46,5621.14,1795.92,0.73,3.23,18.01,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,4,0.47,34.09,792.05,2126.08,5911.26,1768.39,0.75,-4.39,2.97,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,5,0.47,34.09,805.74,2188.83,5636.37,1766.93,0.76,-17.19,-11.69,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,6,0.47,34.09,785.35,2186.76,5443.37,1815.85,0.74,-16.29,-8.71,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,7,0.47,34.09,749.6,1831.95,5269.1,1786.27,0.69,-14.84,-6.66,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,8,0.47,34.09,708.01,2004.62,5458.51,1895.55,0.72,-11.14,11.27,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,9,0.47,34.09,707.89,2160.64,5470.51,1937.15,0.73,8.87,22.74,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
2013,10,0.47,34.09,743.06,2049.52,5808.1,1869.23,0.74,19.29,15.05,6.1,6.5,18.25,28.08,0.97,0,0,0,0,0,0
